company_number,titre_publication,reference_publication,date_depot,date_fin_exercice,langue,fichier
0200068636,Volledig schema kapitaalvennootschap,2018-30700019,2018-07-06T00:00:00Z,2017-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/EC0A3FD0-59AB-4AA0-B525-E48507CDFE94/files/xbrl
0200068636,Model voor geconsolideerde jaarrekening,2018-30700029,2018-07-06T00:00:00Z,2017-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/9064ABEF-3A51-4CA2-86DF-F2B36A4FC966/files/pdf
0200068636,Schéma complet entreprise à capital,2018-30700026,2018-07-06T00:00:00Z,2017-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/BD703995-DC46-4141-994F-A6BF73BB259B/files/xbrl
0200068636,Volledig schema kapitaalvennootschap,2017-28500491,2017-07-06T00:00:00Z,2016-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/77AEE4F8-FE8B-4A67-B2DB-1EBE7BE347F1/files/xbrl
0200068636,Modèle pour comptes consolidés,2017-28500480,2017-07-05T00:00:00Z,2016-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/89349B37-05B9-45B3-BF5D-1702F07503BC/files/pdf
0200068636,Model voor geconsolideerde jaarrekening,2017-28500494,2017-07-05T00:00:00Z,2016-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/7CCA30AE-B0B1-4948-9247-6A529B372652/files/pdf
0200068636,Schéma complet entreprise à capital,2017-28500463,2017-07-05T00:00:00Z,2016-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/4A17AA8F-0E23-4BBE-A0BF-26054ECBA222/files/xbrl
0200068636,Volledig schema kapitaalvennootschap,2016-32100430,2016-07-13T00:00:00Z,2015-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/75620CCE-8B11-417C-9060-4EDE918710C8/files/xbrl
0200068636,Modèle pour comptes consolidés,2016-32100416,2016-07-13T00:00:00Z,2015-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/8488C13D-5D2B-4D8C-9A16-DBD01C0A0325/files/pdf
0200068636,Model voor geconsolideerde jaarrekening,2016-32100414,2016-07-13T00:00:00Z,2015-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/5C34EDCD-4B59-4AF7-86C3-31D52E5AA6DB/files/pdf
0200068636,Schéma complet entreprise à capital,2016-32100445,2016-07-13T00:00:00Z,2015-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/F8228A72-C122-43A9-8000-8BA49E321C20/files/xbrl
0200068636,PDF - Schéma complet entreprise à capital,2016-10700585,2016-04-25T00:00:00Z,2014-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/60AA83C9-F689-4266-A0C4-1B7C77F05CF0/files/pdf
0200068636,Volledig schema kapitaalvennootschap,2016-10700578,2016-04-25T00:00:00Z,2014-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/6837075B-547D-4071-B4E5-90F3F3E6972E/files/xbrl
0200068636,Model voor geconsolideerde jaarrekening,2016-10700581,2016-04-25T00:00:00Z,2014-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/8A00D2A3-D225-4633-A323-1B9453865435/files/pdf
0200068636,Modèle pour comptes consolidés,2016-10700582,2016-04-25T00:00:00Z,2014-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/247270C4-1086-4728-A5D4-33D131AAA34E/files/pdf
0200068636,Schéma complet entreprise à capital,2015-30500205,2015-07-13T00:00:00Z,2014-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/002638AF-3505-4294-927D-D71C4DEA8F95/files/xbrl
0200068636,Volledig schema kapitaalvennootschap,2015-30500196,2015-07-13T00:00:00Z,2014-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/167918B5-6E07-4F90-B3F8-C669972F2D40/files/xbrl
0200068636,Model voor geconsolideerde jaarrekening,2015-30500209,2015-07-13T00:00:00Z,2014-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/1C6B1F71-2F61-4558-9E1D-1C426EBFA733/files/pdf
0200068636,Modèle pour comptes consolidés,2015-30500211,2015-07-13T00:00:00Z,2014-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/202795E5-52A9-43B2-820B-03DBF397EE4A/files/pdf
0200068636,Schéma complet entreprise à capital,2014-21800237,2014-06-25T00:00:00Z,2013-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/31C19564-ECCA-4BB6-91D1-A2FF827FDCB8/files/xbrl
0200068636,Volledig schema kapitaalvennootschap,2014-21800228,2014-06-25T00:00:00Z,2013-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/4A78CEE9-BD2E-4DBC-99DA-80199A4C0DEF/files/xbrl
0200068636,Model voor geconsolideerde jaarrekening,2014-21800230,2014-06-23T00:00:00Z,2013-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/0AA4E2BB-FB6F-417A-852B-6A9B9CFF3DAB/files/pdf
0200068636,Modèle pour comptes consolidés,2014-21800232,2014-06-23T00:00:00Z,2013-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/67C6D2D2-4BB3-4E53-A6CD-237F44E31F79/files/pdf
0200068636,Schéma complet entreprise à capital,2013-27000293,2013-07-04T00:00:00Z,2012-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/7F30DECC-592F-426B-A5E4-00D085233E55/files/xbrl
0200068636,Modèle pour comptes consolidés,2013-27000305,2013-07-04T00:00:00Z,2012-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/0CB95B3F-67E2-4D56-8129-5AC8397748C2/files/pdf
0200068636,Model voor geconsolideerde jaarrekening,2013-27000299,2013-07-04T00:00:00Z,2012-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/E189F88E-C660-40AE-8C6D-5E6331FBA24F/files/pdf
0200068636,Volledig schema kapitaalvennootschap,2013-27000277,2013-07-04T00:00:00Z,2012-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/929041C0-AD66-4DA4-8EF2-A73ADFBC615E/files/xbrl
0200068636,Model voor geconsolideerde jaarrekening,2012-26800150,2012-07-04T00:00:00Z,2011-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/1ED73485-54E4-4B41-B2C1-C1643F60B9ED/files/pdf
0200068636,Modèle pour comptes consolidés,2012-26800152,2012-07-04T00:00:00Z,2011-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/249123A4-1D06-4718-9DF6-E5049F8DEF1B/files/pdf
0200068636,Volledig schema kapitaalvennootschap,2012-26800151,2012-07-03T00:00:00Z,2011-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/0E8E59C9-04BF-4AD5-B855-CCB045F8C201/files/xbrl
0200068636,Schéma complet entreprise à capital,2012-26800155,2012-07-03T00:00:00Z,2011-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/F51B1EB5-C212-40D1-B429-5080051F5890/files/xbrl
0200068636,Modèle pour comptes consolidés,2011-20000364,2011-06-22T00:00:00Z,2010-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/FE582C7F-FC6A-4B1A-B604-0E633C4F50D8/files/pdf
0200068636,Model voor geconsolideerde jaarrekening,2011-20000356,2011-06-22T00:00:00Z,2010-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/4CD39380-4C89-45FB-BEF7-0A3186544C2B/files/pdf
0200068636,Volledig schema kapitaalvennootschap,2011-20000389,2011-06-21T00:00:00Z,2010-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/1917BCDA-E9A8-4B86-9F69-02C1CCA67CEA/files/xbrl
0200068636,Schéma complet entreprise à capital,2011-20000401,2011-06-21T00:00:00Z,2010-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/AD452F7D-F81B-4C21-AD24-456297111A0C/files/xbrl
0200068636,Volledig schema kapitaalvennootschap,2010-29700433,2010-07-09T00:00:00Z,2009-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/AFF1C8B7-2C17-4A4E-86A7-67AFB543E5D2/files/xbrl
0200068636,Schéma complet entreprise à capital,2010-29700445,2010-07-09T00:00:00Z,2009-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/95AA0CB2-B5E9-4457-8D2B-9C65B65FFE53/files/xbrl
0200068636,Model voor geconsolideerde jaarrekening,2010-29200454,2010-07-06T00:00:00Z,2009-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/F2B82095-BF4A-43A3-AC27-0D8E415904F2/files/pdf
0200068636,Modèle pour comptes consolidés,2010-29200459,2010-07-06T00:00:00Z,2009-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/D561694B-5E71-41E4-9B0B-7172C7E4B87A/files/pdf
0200068636,PDF - Schéma complet entreprise à capital,2009-41300024,2009-07-10T00:00:00Z,2008-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/02E1B50E-FCD6-458A-A4D8-D6FC67F2C7F7/files/pdf
0200068636,Modèle pour comptes consolidés,2009-41300032,2009-07-10T00:00:00Z,2008-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/6E96690D-5EF7-4B15-967E-FD9126A082D7/files/pdf
0200068636,PDF - Volledig schema kapitaalvennootschap,2009-41300003,2009-07-10T00:00:00Z,2008-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/70C83170-AC30-4272-91E2-5FE4B7E7254F/files/pdf
0200068636,Model voor geconsolideerde jaarrekening,2009-41300029,2009-07-10T00:00:00Z,2008-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/64953713-5290-4250-8069-CA6B3299CD45/files/pdf
0200068636,PDF - Schéma complet entreprise à capital,2008-47700394,2008-07-30T00:00:00Z,2007-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/6D98EBF7-73C9-477E-B821-C888EA0C2236/files/paper
0200068636,Modèle pour comptes consolidés,2008-47700396,2008-07-30T00:00:00Z,2007-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/59089F8A-946A-4324-A8E8-F33FA4A06B7D/files/paper
0200068636,PDF - Volledig schema kapitaalvennootschap,2008-47700395,2008-07-30T00:00:00Z,2007-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/C418CEA7-6E4A-4952-865F-385C0630165B/files/paper
0200068636,Model voor geconsolideerde jaarrekening,2008-34100028,2008-07-03T00:00:00Z,2007-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/71208E5F-398C-46E8-BE56-A4816870AEEE/files/paper
0200068636,PDF - Schéma complet entreprise à capital,2007-41500094,2007-07-18T00:00:00Z,2006-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/63F797C4-81DB-4F06-9E7D-B6A89E80BE28/files/paper
0200068636,Modèle pour comptes consolidés,2007-41500095,2007-07-18T00:00:00Z,2006-12-31T00:00:00Z,FR,https://consult.cbso.nbb.be/api/rs-consult/deposits/1A91F8C7-7AC8-4FED-886C-CB0ACDA123DC/files/paper
0200068636,Model voor geconsolideerde jaarrekening,2007-41500092,2007-07-18T00:00:00Z,2006-12-31T00:00:00Z,NL,https://consult.cbso.nbb.be/api/rs-consult/deposits/95219F4D-65F1-458F-A6DC-008BAD52255F/files/paper
